run_id,control_architecture,control_label,feed_type,has_scf_pid,has_gw_pid,material,scenario,scf_setpoint_kN_per_cm,gw_setpoint_mm,scf_ss_mean,scf_ss_std,scf_ss_cv_pct,scf_deviation_from_setpoint_pct,scf_settling_time_s,scf_overshoot_pct,gw_ss_mean_mm,gw_ss_std_mm,gw_ss_cv_pct,gw_deviation_from_setpoint_pct,gw_settling_time_s,control_quality_grade
1,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_101,steady_state_baseline,4.0,2.0,3.994,0.0497,1.24,0.15,146.0,3.58,1.997,0.0604,3.02,0.15,149.5,Good
2,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_101,scf_step_up,8.0,2.0,7.89,0.0946,1.2,1.38,149.0,3.79,2.0066,0.055,2.74,0.33,149.5,Good
3,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_101,scf_step_down,4.0,2.0,4.113,0.0483,1.17,2.83,149.5,97.05,2.0084,0.0559,2.78,0.42,149.5,Good
4,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_101,gw_step_down,6.0,1.5,5.999,0.0753,1.26,0.02,143.5,10.08,1.555,0.0495,3.19,3.67,149.5,Good
5,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_101,gw_step_up,6.0,3.0,5.987,0.0671,1.12,0.22,132.0,2.72,2.9522,0.0775,2.63,1.59,149.5,Good
6,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_101,simultaneous_change,8.0,1.5,7.892,0.0818,1.04,1.35,149.0,1.83,1.5551,0.0486,3.13,3.68,149.5,Good
7,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_101,high_force_steady,12.0,2.0,11.986,0.1092,0.91,0.12,139.5,2.61,1.985,0.059,2.97,0.75,149.5,Good
8,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_101,low_force_wide_gap,2.0,4.0,2.005,0.0291,1.45,0.24,149.5,5.48,4.0112,0.0965,2.4,0.28,149.0,Good
9,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,Mannitol_SD,steady_state_baseline,4.0,2.0,3.999,0.0822,2.06,0.03,149.0,6.75,2.0077,0.1016,5.06,0.38,149.5,Acceptable
10,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,Mannitol_SD,scf_step_up,8.0,2.0,7.963,0.1551,1.95,0.47,149.5,10.38,2.0074,0.0985,4.9,0.37,149.5,Acceptable
11,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,Mannitol_SD,scf_step_down,4.0,2.0,4.038,0.067,1.66,0.96,149.0,95.69,1.9962,0.0856,4.29,0.19,149.5,Acceptable
12,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,Mannitol_SD,gw_step_down,6.0,1.5,5.998,0.0885,1.47,0.03,147.5,4.95,1.5485,0.0694,4.48,3.24,149.5,Acceptable
13,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,Mannitol_SD,gw_step_up,6.0,3.0,5.99,0.1147,1.92,0.17,146.0,6.28,2.9679,0.1146,3.86,1.07,149.5,Acceptable
14,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,Mannitol_SD,simultaneous_change,8.0,1.5,7.958,0.1362,1.71,0.53,145.0,5.75,1.5549,0.0699,4.49,3.66,149.5,Acceptable
15,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,Mannitol_SD,high_force_steady,12.0,2.0,12.011,0.2524,2.1,0.09,148.0,12.9,1.9973,0.0936,4.69,0.14,149.5,Acceptable
16,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,Mannitol_SD,low_force_wide_gap,2.0,4.0,2.009,0.0389,1.94,0.44,149.0,8.81,3.9922,0.1647,4.12,0.2,149.5,Acceptable
17,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_Mannitol_Mix,steady_state_baseline,4.0,2.0,4.003,0.0803,2.01,0.08,149.5,8.22,1.9978,0.0736,3.68,0.11,149.5,Acceptable
18,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_Mannitol_Mix,scf_step_up,8.0,2.0,7.926,0.1102,1.39,0.93,144.5,2.77,1.9863,0.0649,3.27,0.68,149.5,Good
19,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_Mannitol_Mix,scf_step_down,4.0,2.0,4.07,0.0648,1.59,1.75,149.5,99.14,1.9986,0.0713,3.57,0.07,149.5,Acceptable
20,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_Mannitol_Mix,gw_step_down,6.0,1.5,5.996,0.1008,1.68,0.07,143.0,10.21,1.5455,0.0576,3.73,3.03,149.5,Acceptable
21,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_Mannitol_Mix,gw_step_up,6.0,3.0,5.978,0.0764,1.28,0.37,146.5,3.27,2.9614,0.1139,3.85,1.29,149.5,Acceptable
22,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_Mannitol_Mix,simultaneous_change,8.0,1.5,7.901,0.1336,1.69,1.24,149.0,3.05,1.5449,0.0574,3.71,2.99,149.5,Acceptable
23,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_Mannitol_Mix,high_force_steady,12.0,2.0,12.026,0.1597,1.33,0.22,149.0,4.61,2.0055,0.0654,3.26,0.28,149.0,Good
24,no_gap_control,No Gap Control (HP setpoint only),single_screw,False,False,MCC_Mannitol_Mix,low_force_wide_gap,2.0,4.0,1.997,0.0332,1.66,0.14,143.0,10.18,3.9867,0.138,3.46,0.33,149.5,Acceptable
25,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_101,steady_state_baseline,4.0,2.0,3.992,0.0618,1.55,0.21,149.5,5.64,1.9999,0.0356,1.78,0.0,148.5,Good
26,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_101,scf_step_up,8.0,2.0,7.895,0.1069,1.35,1.32,149.0,5.79,1.9982,0.0374,1.87,0.09,149.0,Good
27,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_101,scf_step_down,4.0,2.0,4.112,0.0459,1.12,2.8,149.5,98.81,2.0028,0.0359,1.79,0.14,149.5,Good
28,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_101,gw_step_down,6.0,1.5,6.002,0.0654,1.09,0.03,149.0,5.26,1.5002,0.0306,2.04,0.02,149.0,Good
29,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_101,gw_step_up,6.0,3.0,5.998,0.0777,1.3,0.03,137.5,7.74,2.9996,0.0454,1.51,0.01,149.5,Good
30,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_101,simultaneous_change,8.0,1.5,7.886,0.1086,1.38,1.42,146.5,8.4,1.4992,0.0287,1.92,0.06,149.5,Good
31,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_101,high_force_steady,12.0,2.0,12.006,0.0983,0.82,0.05,144.0,7.93,1.9995,0.0429,2.15,0.02,147.0,Good
32,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_101,low_force_wide_gap,2.0,4.0,2.003,0.0269,1.34,0.15,140.5,7.71,3.9926,0.0637,1.6,0.19,149.0,Good
33,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,Mannitol_SD,steady_state_baseline,4.0,2.0,4.005,0.0807,2.02,0.11,149.5,5.3,1.9993,0.0569,2.85,0.04,149.5,Good
34,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,Mannitol_SD,scf_step_up,8.0,2.0,7.953,0.1157,1.45,0.59,146.5,3.05,1.9983,0.0546,2.73,0.08,149.5,Good
35,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,Mannitol_SD,scf_step_down,4.0,2.0,4.025,0.0622,1.55,0.63,148.5,94.53,2.0017,0.0523,2.61,0.09,149.5,Good
36,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,Mannitol_SD,gw_step_down,6.0,1.5,6.004,0.095,1.58,0.07,145.0,8.27,1.5003,0.0446,2.97,0.02,148.5,Good
37,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,Mannitol_SD,gw_step_up,6.0,3.0,5.988,0.0916,1.53,0.2,145.0,4.72,2.9974,0.0722,2.41,0.09,149.5,Good
38,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,Mannitol_SD,simultaneous_change,8.0,1.5,7.977,0.1247,1.56,0.28,149.5,4.49,1.4986,0.0408,2.72,0.09,149.5,Good
39,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,Mannitol_SD,high_force_steady,12.0,2.0,11.999,0.1878,1.57,0.01,148.0,8.3,1.994,0.0527,2.64,0.3,148.0,Good
40,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,Mannitol_SD,low_force_wide_gap,2.0,4.0,2.004,0.037,1.85,0.2,145.5,5.54,3.9993,0.0926,2.31,0.02,149.5,Good
41,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_Mannitol_Mix,steady_state_baseline,4.0,2.0,4.003,0.0482,1.2,0.09,147.5,6.47,1.997,0.0348,1.74,0.15,149.5,Good
42,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_Mannitol_Mix,scf_step_up,8.0,2.0,7.934,0.1004,1.27,0.82,149.0,7.9,1.9984,0.0431,2.15,0.08,149.5,Good
43,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_Mannitol_Mix,scf_step_down,4.0,2.0,4.083,0.0558,1.37,2.07,149.5,92.71,1.9968,0.0396,1.98,0.16,149.5,Good
44,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_Mannitol_Mix,gw_step_down,6.0,1.5,6.003,0.0694,1.16,0.05,145.5,3.76,1.4995,0.031,2.07,0.03,149.5,Good
45,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_Mannitol_Mix,gw_step_up,6.0,3.0,5.998,0.0878,1.46,0.04,146.5,5.53,3.0012,0.0508,1.69,0.04,148.0,Good
46,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_Mannitol_Mix,simultaneous_change,8.0,1.5,7.908,0.0807,1.02,1.15,149.5,2.01,1.4992,0.0356,2.37,0.05,149.5,Good
47,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_Mannitol_Mix,high_force_steady,12.0,2.0,12.009,0.1385,1.15,0.08,144.5,5.57,2.0007,0.0387,1.93,0.03,148.5,Good
48,pid_gw_screw,PID: GW + Screw Speed Control,single_screw,False,True,MCC_Mannitol_Mix,low_force_wide_gap,2.0,4.0,2.0,0.0364,1.82,0.02,149.5,7.5,4.0042,0.0695,1.74,0.11,147.5,Good
49,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_101,steady_state_baseline,4.0,2.0,4.003,0.027,0.68,0.08,52.5,2.02,2.0003,0.0271,1.36,0.02,149.5,Good
50,pid_scf_gw,PID: SCF + GW Control,single_screw,True,True,MCC_101,scf_step_up,8.0,2.0,8.007,0.0531,0.66,0.08,106.5,16.08,2.0016,0.0222,1.11,0.08,117.5,Excellent
