run_id,time_s,scf_setpoint_kN_per_cm,scf_actual_kN_per_cm,gw_setpoint_mm,gw_actual_mm,roll_speed_rpm,screw_speed_rpm
1,0.0,4.0,3.962,2.0,2.1287,2.54,28.4
1,2.0,4.0,3.987,2.0,2.0855,2.5,28.0
1,4.0,4.0,3.98,2.0,2.1146,2.48,28.6
1,6.0,4.0,4.088,2.0,1.9814,2.51,28.9
1,8.0,4.0,4.055,2.0,2.0742,2.51,28.5
1,10.0,4.0,3.97,2.0,1.9435,2.58,28.5
1,12.0,4.0,4.153,2.0,1.996,2.56,28.1
1,14.0,4.0,4.014,2.0,1.9465,2.42,28.5
1,16.0,4.0,4.063,2.0,1.9463,2.64,28.8
1,18.0,4.0,3.972,2.0,2.0002,2.58,28.5
1,20.0,4.0,3.965,2.0,1.9865,2.57,28.2
1,22.0,4.0,3.991,2.0,2.0559,2.64,28.5
1,24.0,4.0,4.098,2.0,2.035,2.51,28.4
1,26.0,4.0,3.983,2.0,1.9943,2.59,28.7
1,28.0,4.0,3.889,2.0,1.9143,2.61,28.4
1,30.0,4.0,4.022,2.0,1.9395,2.59,28.3
1,32.0,4.0,4.079,2.0,1.8578,2.54,28.1
1,34.0,4.0,4.102,2.0,2.0796,2.55,28.6
1,36.0,4.0,4.011,2.0,2.108,2.59,28.0
1,38.0,4.0,3.988,2.0,2.0512,2.58,28.2
1,40.0,4.0,4.036,2.0,2.0979,2.54,29.0
1,42.0,4.0,4.036,2.0,2.0709,2.51,28.9
1,44.0,4.0,3.914,2.0,2.0336,2.6,28.3
1,46.0,4.0,3.965,2.0,1.9654,2.58,28.3
1,48.0,4.0,3.982,2.0,2.036,2.46,28.3
1,50.0,4.0,3.928,2.0,2.02,2.6,28.8
1,52.0,4.0,4.012,2.0,1.9911,2.57,28.3
1,54.0,4.0,3.977,2.0,2.029,2.57,28.2
1,56.0,4.0,3.925,2.0,1.9831,2.54,28.9
1,58.0,4.0,3.965,2.0,1.9009,2.57,28.8
1,60.0,4.0,4.101,2.0,1.8498,2.63,28.9
1,62.0,4.0,4.032,2.0,2.0453,2.53,28.3
1,64.0,4.0,4.045,2.0,2.0737,2.53,28.6
1,66.0,4.0,4.064,2.0,2.0276,2.57,27.9
1,68.0,4.0,3.899,2.0,2.0258,2.63,28.1
1,70.0,4.0,3.993,2.0,1.9769,2.53,27.9
1,72.0,4.0,4.012,2.0,2.0247,2.58,28.4
1,74.0,4.0,3.968,2.0,2.0241,2.5,28.1
1,76.0,4.0,4.143,2.0,1.9613,2.61,28.7
1,78.0,4.0,4.003,2.0,2.0254,2.49,29.0
1,80.0,4.0,3.955,2.0,2.0209,2.58,28.8
1,82.0,4.0,3.964,2.0,1.9374,2.46,28.3
1,84.0,4.0,3.973,2.0,2.0573,2.61,28.2
1,86.0,4.0,4.032,2.0,2.0095,2.47,28.3
1,88.0,4.0,3.984,2.0,2.0838,2.48,28.2
1,90.0,4.0,4.082,2.0,2.0184,2.58,28.5
1,92.0,4.0,4.097,2.0,2.0466,2.46,28.4
1,94.0,4.0,3.931,2.0,1.975,2.53,28.8
1,96.0,4.0,3.989,2.0,1.9218,2.59,28.6
1,98.0,4.0,4.004,2.0,2.0391,2.5,28.1
1,100.0,4.0,3.92,2.0,2.1009,2.53,28.3
1,102.0,4.0,3.926,2.0,1.8609,2.51,28.3
1,104.0,4.0,3.962,2.0,2.0483,2.53,28.7
1,106.0,4.0,4.024,2.0,1.9236,2.54,28.4
1,108.0,4.0,4.024,2.0,2.0293,2.56,28.4
1,110.0,4.0,3.956,2.0,2.0027,2.5,28.7
1,112.0,4.0,4.093,2.0,1.9451,2.52,28.8
1,114.0,4.0,4.003,2.0,1.9758,2.54,28.4
1,116.0,4.0,3.968,2.0,2.023,2.54,28.9
1,118.0,4.0,3.992,2.0,1.985,2.51,28.8
1,120.0,4.0,4.007,2.0,1.9974,2.43,28.3
1,122.0,4.0,3.931,2.0,1.9943,2.55,28.5
1,124.0,4.0,3.964,2.0,1.9896,2.54,28.7
1,126.0,4.0,3.955,2.0,1.9027,2.55,29.0
1,128.0,4.0,3.954,2.0,2.0631,2.57,28.9
1,130.0,4.0,3.967,2.0,2.0716,2.57,28.5
1,132.0,4.0,3.989,2.0,1.9256,2.64,28.7
1,134.0,4.0,3.991,2.0,2.0213,2.58,28.5
1,136.0,4.0,4.013,2.0,1.9732,2.51,28.5
1,138.0,4.0,4.044,2.0,1.9136,2.53,28.3
1,140.0,4.0,3.908,2.0,2.0269,2.57,28.9
1,142.0,4.0,4.002,2.0,1.9611,2.5,28.8
1,144.0,4.0,3.982,2.0,2.0568,2.63,28.4
1,146.0,4.0,4.021,2.0,1.9537,2.52,28.5
1,148.0,4.0,3.982,2.0,2.0107,2.62,28.6
1,150.0,4.0,3.956,2.0,1.897,2.46,28.7
1,152.0,4.0,3.979,2.0,2.1036,2.55,28.8
1,154.0,4.0,3.999,2.0,1.9985,2.57,28.8
1,156.0,4.0,3.98,2.0,1.9322,2.64,28.7
1,158.0,4.0,4.022,2.0,2.047,2.45,28.5
1,160.0,4.0,4.013,2.0,2.0099,2.61,28.8
