run_id,material,deformation_type,true_density_gcc,compactor_config,roll_diameter_mm,roll_width_mm,sealing_system,roll_surface,scf_kN_per_cm,gap_width_mm,roll_speed_rpm,feed_screw_rpm,densification_factor,nip_angle_deg,peak_pressure_MPa,ribbon_rel_density,ribbon_density_gcc,ribbon_porosity,density_CV_percent,in_zinchuk_window,fines_fraction_pct,granule_d50_um,throughput_kg_hr
1,MCC_Mannitol_Mix,mixed,1.52,Small_D120,120,25,side_sealing,knurled,10.41,2.85,11.29,97.0,2.167,15.93,62.4,0.769,1.1689,0.231,5.79,Yes,21.52,337.0,49.09
2,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,side_sealing,knurled,15.55,3.58,24.95,59.3,2.505,15.32,46.5,0.6836,1.0391,0.3164,6.7,Yes,24.44,235.0,142.82
3,MCC_101,plastic,1.55,Medium_D250,250,25,rim_rolls,smooth,10.06,2.83,6.67,75.4,2.693,11.39,40.5,0.7504,1.1631,0.2496,3.14,Yes,13.84,408.3,29.19
4,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,rim_rolls,knurled,9.79,5.5,10.26,86.6,2.213,15.67,28.6,0.5887,0.8771,0.4113,2.77,No,29.02,134.8,77.93
5,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,smooth,15.16,3.74,19.02,50.9,2.471,10.11,68.8,0.7321,1.0909,0.2679,5.32,Yes,23.33,236.1,100.51
6,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,rim_rolls,smooth,16.29,3.6,10.47,65.0,2.501,10.72,69.6,0.8328,1.2658,0.1672,3.59,No,11.26,370.2,59.33
7,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,rim_rolls,smooth,12.21,3.08,23.45,115.4,2.621,10.6,52.8,0.7185,1.0921,0.2815,3.23,Yes,18.69,334.2,119.93
8,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,smooth,14.09,3.44,3.69,11.4,2.064,10.65,126.3,0.95,1.4725,0.05,4.08,No,5.11,551.7,24.39
9,MCC_101,plastic,1.55,Medium_D250_W30,250,30,side_sealing,knurled,13.5,4.3,16.84,110.9,2.373,16.01,38.7,0.6655,1.0316,0.3345,5.1,Yes,23.7,289.2,117.26
10,MCC_101,plastic,1.55,Medium_D250,250,25,side_sealing,knurled,3.22,4.03,25.86,79.1,2.417,15.65,9.4,0.4696,0.728,0.5304,6.47,No,40.81,116.5,96.75
11,Mannitol_SD,brittle,1.49,Small_D120,120,25,side_sealing,smooth,3.51,3.77,7.72,66.8,2.015,10.68,31.4,0.5664,0.8439,0.4336,6.41,No,39.95,115.1,32.49
12,MCC_101,plastic,1.55,Small_D120,120,25,side_sealing,knurled,16.75,3.37,17.19,115.4,2.075,16.02,99.9,0.8643,1.3397,0.1357,6.67,No,14.77,485.2,98.39
13,MCC_Mannitol_Mix,mixed,1.52,Medium_D250_W30,250,30,rim_rolls,knurled,8.19,4.44,18.53,55.0,2.35,15.39,24.4,0.6137,0.9328,0.3863,4.08,Yes,29.96,179.1,113.82
14,Mannitol_SD,brittle,1.49,Medium_D250,250,25,rim_rolls,smooth,6.81,5.57,10.24,74.4,2.206,10.57,29.5,0.5957,0.8875,0.4043,3.95,No,29.8,165.8,62.96
15,MCC_101,plastic,1.55,Small_D120,120,25,rim_rolls,knurled,11.98,3.19,7.98,96.0,2.104,16.43,69.6,0.8402,1.3023,0.1598,2.64,No,12.27,459.3,46.65
16,MCC_Mannitol_Mix,mixed,1.52,Medium_D250,250,25,side_sealing,smooth,8.03,3.84,28.78,113.0,2.453,10.5,35.1,0.5955,0.9052,0.4045,7.98,No,33.18,183.1,126.45
17,Mannitol_SD,brittle,1.49,Medium_D250_W30,250,30,side_sealing,knurled,17.31,5.9,8.99,79.1,2.172,15.7,50.5,0.6926,1.0319,0.3074,6.17,Yes,30.31,267.8,82.61
