run_id,compactor_model,scale,roll_diameter_in,roll_width_in,roll_diameter_cm,roll_width_cm,max_roll_pressure_kn_cm,integrated_mill,total_power_kw,material,feed_density_gcc,deformation_type,roll_pressure_fraction,scf_kn_cm,roll_speed_rpm,hfs_speed_rpm,vfs_hfs_ratio,gap_width_mm,ribbon_rel_density,ribbon_density_gcc,ribbon_porosity,density_cv_pct,fines_pct,granule_yield_pct,in_zinchuk_window,throughput_kg_hr,throughput_lbs_hr,specific_energy_kwh_tonne,changeover_time_hr,replicate
1,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,10,100,0.6,1.23,0.4508,0.586,0.5492,4.1,30.3,71.83,No,196.2,432.5,79.41,2.5,1
2,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,6,15,1.0,1.57,0.5015,0.6519,0.4985,4.21,26.49,72.55,No,114.6,252.7,165.77,2.5,1
3,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,4,75,0.6,1.73,0.4197,0.5456,0.5803,5.29,31.4,69.55,No,141.5,311.9,94.01,2.5,1
4,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,2,75,1.2,1.44,0.4503,0.5854,0.5497,8.05,31.33,68.81,No,127.9,282.0,121.79,2.5,3
5,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,10,75,1.2,1.77,0.4872,0.6333,0.5128,3.99,29.46,71.21,No,186.8,411.9,101.7,2.5,3
6,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,10,30,1.0,1.58,0.4904,0.6376,0.5096,4.38,29.63,69.18,No,157.2,346.5,110.0,2.5,1
7,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,6,15,1.2,1.28,0.4835,0.6285,0.5165,5.23,27.65,73.36,No,113.8,250.9,166.97,2.5,2
8,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,10,30,0.6,1.23,0.3867,0.5027,0.6133,5.02,35.81,63.31,No,155.4,342.5,70.93,2.5,2
9,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,2,75,1.0,1.71,0.4321,0.5617,0.5679,7.12,32.85,68.42,No,129.4,285.4,102.75,2.5,2
10,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,6,50,0.6,1.43,0.4512,0.5865,0.5488,4.13,30.41,68.37,No,133.5,294.3,129.52,2.5,3
11,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,8,75,1.0,1.69,0.4571,0.5943,0.5429,3.51,28.36,70.77,No,163.7,361.0,81.23,2.5,1
12,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,2,100,1.0,1.76,0.4439,0.5771,0.5561,8.74,30.58,68.47,No,149.8,330.3,104.0,2.5,3
13,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,10,15,0.8,1.61,0.4084,0.531,0.5916,4.83,33.5,66.88,No,150.6,332.0,73.18,2.5,1
14,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,8,15,1.0,1.47,0.5119,0.6654,0.4881,4.52,25.83,74.35,No,137.0,301.9,138.74,2.5,2
15,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,4,100,0.8,1.32,0.4131,0.537,0.5869,5.76,32.42,68.06,No,160.3,353.3,82.98,2.5,2
16,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,6,15,0.8,1.69,0.4481,0.5825,0.5519,4.96,32.63,66.32,No,117.3,258.7,132.79,2.5,3
17,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,4,75,1.2,1.7,0.4525,0.5882,0.5475,5.17,28.44,71.99,No,141.5,311.9,110.12,2.5,3
18,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,8,30,1.2,1.8,0.4357,0.5663,0.5643,4.75,29.66,70.12,No,139.6,307.7,111.63,2.5,3
19,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,8,15,1.0,1.55,0.4062,0.5281,0.5938,4.21,33.7,64.29,No,129.8,286.1,84.91,2.5,1
20,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,6,100,1.0,1.69,0.4834,0.6284,0.5166,4.38,27.64,73.36,No,176.8,389.7,97.82,2.5,1
21,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,6,50,1.5,1.4,0.4518,0.5874,0.5482,4.43,30.42,71.14,No,138.1,304.5,112.8,2.5,3
22,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,6,100,1.0,1.77,0.4093,0.5321,0.5907,3.84,32.07,67.77,No,173.4,382.3,63.54,2.5,3
23,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,2,50,1.0,1.65,0.4826,0.6274,0.5174,5.84,30.02,69.55,No,114.3,252.0,166.19,2.5,3
24,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,10,30,0.6,1.43,0.4375,0.5687,0.5625,4.77,27.69,72.55,No,150.6,332.0,114.83,2.5,2
25,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,6,75,0.6,1.32,0.4001,0.5202,0.5999,4.54,33.92,68.44,No,153.9,339.3,71.6,2.5,2
26,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,4,15,0.6,1.5,0.4739,0.616,0.5261,4.51,27.06,73.19,No,105.6,232.7,179.98,2.5,2
27,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,8,15,1.5,1.22,0.47,0.6109,0.53,4.81,26.57,73.04,No,135.4,298.5,140.32,2.5,1
28,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,6,100,0.8,1.34,0.43,0.559,0.57,4.74,34.39,65.35,No,173.0,381.4,76.88,2.5,3
29,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,4,15,1.0,1.2,0.5012,0.6515,0.4988,4.3,25.72,73.9,No,100.2,220.8,172.6,2.5,3
30,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,4,75,1.5,1.64,0.445,0.5785,0.555,5.13,31.09,70.05,No,142.9,315.0,132.99,2.5,2
31,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,4,50,0.8,1.29,0.4276,0.5558,0.5724,3.74,33.43,66.88,No,132.0,290.9,83.51,2.5,2
32,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,4,50,1.0,1.68,0.4524,0.5881,0.5476,3.39,30.91,68.7,No,126.5,278.9,87.09,2.5,1
33,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,2,75,0.8,1.71,0.4549,0.5914,0.5451,7.73,30.64,69.42,No,130.7,288.1,145.37,2.5,3
34,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,2,30,1.0,1.59,0.4485,0.5831,0.5515,3.72,29.78,70.88,No,99.2,218.7,134.07,2.5,3
35,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,10,30,0.8,1.59,0.4172,0.5423,0.5828,5.14,31.58,68.15,No,156.1,344.1,85.21,2.5,2
36,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,10,50,1.5,1.44,0.3706,0.4818,0.6294,4.79,34.68,67.03,No,175.8,387.5,62.7,2.5,1
37,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,6,50,0.6,1.37,0.4116,0.535,0.5884,4.22,30.47,68.24,No,147.3,324.8,90.28,2.5,3
38,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,2,75,0.6,1.28,0.4008,0.521,0.5992,8.14,31.17,70.07,No,127.2,280.4,104.55,2.5,1
39,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,6,100,1.0,1.64,0.4673,0.6075,0.5327,3.93,29.38,71.2,No,178.8,394.1,87.14,2.5,3
40,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,4,75,1.0,1.35,0.4947,0.6431,0.5053,4.82,26.61,74.47,No,142.1,313.2,121.71,2.5,2
41,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,6,30,0.6,1.74,0.4319,0.5615,0.5681,5.15,30.61,69.32,No,128.3,282.8,121.46,2.5,2
42,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,10,100,1.0,1.48,0.414,0.5381,0.586,3.28,29.43,71.51,No,197.9,436.3,55.68,2.5,2
43,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,6,100,1.2,1.67,0.4251,0.5526,0.5749,4.87,31.45,67.34,No,178.6,393.8,74.45,2.5,3
44,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,10,100,0.6,1.78,0.4143,0.5386,0.5857,2.95,30.82,70.31,No,189.8,418.4,70.09,2.5,2
45,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,8,30,1.2,1.57,0.4166,0.5416,0.5834,4.66,33.9,65.17,No,146.3,322.5,75.33,2.5,3
46,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.7,1.21,2,30,0.6,1.58,0.4385,0.5701,0.5615,5.14,29.59,70.32,No,100.6,221.7,154.91,2.5,1
47,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.3,0.52,8,100,1.5,1.52,0.3809,0.4952,0.6191,4.71,35.53,64.13,No,172.5,380.4,63.87,2.5,2
48,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,8,100,1.5,1.36,0.4891,0.6359,0.5109,4.75,28.66,69.55,No,181.5,400.2,104.66,2.5,1
49,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,2,100,0.8,1.75,0.4259,0.5536,0.5741,9.5,32.26,68.58,No,146.7,323.5,90.63,2.5,2
50,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,2,50,1.2,1.32,0.433,0.5629,0.567,5.44,31.75,67.77,No,115.9,255.5,114.77,2.5,3
51,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,4,50,1.5,1.23,0.4102,0.5332,0.5898,4.2,34.81,65.14,No,129.2,284.9,102.92,2.5,3
52,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,1.0,1.73,10,15,1.2,1.27,0.4912,0.6386,0.5088,5.35,27.05,72.68,No,139.1,306.7,136.56,2.5,3
53,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,6,50,1.2,1.67,0.4679,0.6083,0.5321,4.22,28.57,70.39,No,140.9,310.6,122.73,2.5,1
54,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,8,50,0.8,1.32,0.4713,0.6127,0.5287,4.4,28.07,71.14,No,154.5,340.6,111.92,2.5,1
55,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,2,50,1.0,1.5,0.463,0.602,0.537,4.91,28.22,71.49,No,112.7,248.5,153.38,2.5,3
56,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.5,0.87,4,100,1.0,1.4,0.4522,0.5878,0.5478,5.2,30.46,71.52,No,151.8,334.6,87.63,2.5,3
57,CL100250,Full Production,4.0,10,10.0,25,17.5,PM8,19.0,API_blend_40pct,0.38,mixed,0.85,1.47,2,100,1.0,1.8,0.4897,0.6365,0.5103,9.18,26.88,74.06,No,144.9,319.5,119.31,2.5,2
